customer_id,status,flag
CUST000001,Yes,1
CUST000002,No,0
CUST000003,No,0
CUST000004,No,0
CUST000005,Yes,1
CUST000006,No,0
CUST000007,Yes,1
CUST000008,No,0
CUST000009,No,0
CUST000010,No,0
CUST000011,Yes,1
CUST000012,No,0
CUST000013,No,0
CUST000014,Yes,1
CUST000015,Yes,1
CUST000016,Yes,1
CUST000017,Yes,1
CUST000018,No,0
CUST000019,No,0
CUST000020,No,0
CUST000021,No,0
CUST000022,Yes,1
CUST000023,Yes,1
CUST000024,Yes,1
CUST000025,No,0
CUST000026,No,0
CUST000027,No,0
CUST000028,No,0
CUST000029,No,0
CUST000030,Yes,1
CUST000031,No,0
CUST000032,No,0
CUST000033,Yes,1
CUST000034,No,0
CUST000035,No,0
CUST000036,No,0
CUST000037,Yes,1
CUST000038,Yes,1
CUST000039,No,0
CUST000040,No,0
CUST000041,Yes,1
CUST000042,No,0
CUST000043,Yes,1
CUST000044,No,0
CUST000045,No,0
CUST000046,No,0
CUST000047,No,0
CUST000048,No,0
CUST000049,No,0
CUST000050,No,0
CUST000051,No,0
CUST000052,No,0
CUST000053,No,0
CUST000054,No,0
CUST000055,Yes,1
CUST000056,No,0
CUST000057,Yes,1
CUST000058,Yes,1
CUST000059,Yes,1
CUST000060,No,0
CUST000061,No,0
CUST000062,No,0
CUST000063,No,0
CUST000064,No,0
CUST000065,Yes,1
CUST000066,Yes,1
CUST000067,Yes,1
CUST000068,No,0
CUST000069,No,0
CUST000070,No,0
CUST000071,No,0
CUST000072,No,0
CUST000073,Yes,1
CUST000074,No,0
CUST000075,No,0
CUST000076,No,0
CUST000077,No,0
CUST000078,Yes,1
CUST000079,Yes,1
CUST000080,No,0
CUST000081,No,0
CUST000082,No,0
CUST000083,Yes,1
CUST000084,Yes,1
CUST000085,No,0
CUST000086,Yes,1
CUST000087,No,0
CUST000088,No,0
CUST000089,No,0
CUST000090,No,0
CUST000091,Yes,1
CUST000092,No,0
CUST000093,No,0
CUST000094,No,0
CUST000095,No,0
CUST000096,No,0
CUST000097,No,0
CUST000098,No,0
CUST000099,Yes,1
CUST000100,Yes,1
CUST000101,Yes,1
CUST000102,No,0
CUST000103,No,0
CUST000104,No,0
CUST000105,No,0
CUST000106,Yes,1
CUST000107,No,0
CUST000108,No,0
CUST000109,No,0
CUST000110,No,0
CUST000111,No,0
CUST000112,Yes,1
CUST000113,No,0
CUST000114,No,0
